concept,congruence_cond,semantic_distance_cond,semantic_distance,set_number,L,a,b,rgb_r,rgb_g,rgb_b,hex,uw_71,pair_index
eating,TRUE,LOW,0.499113623,9,75,23.657,26.274,0.94491,0.65619,0.53969,#f1a78a,47,1
sleeping,TRUE,LOW,0.499113623,9,50,28.891,-73.589,0.18536,0.43139,0.96497,#2f6ef6,0,0
wildfire,TRUE,LOW,0.499699241,10,88,-78.822,70.972,0.24405,0.99448,0.26544,#3efe44,63,1
sandstorm,TRUE,LOW,0.499699241,10,50,-2.6168,49.931,0.53807,0.4637,0.095726,#897618,56,0
carrot,TRUE,LOW,0.499729583,11,50,72.28,53.857,0.91683,0.11258,0.11559,#ea1d1d,62,1
corn,TRUE,LOW,0.499729583,11,88,-24.966,-1.3084,0.63541,0.91934,0.87189,#a2eade,23,0
mushroom,TRUE,LOW,0.49931855,12,50,24.966,1.3084,0.62657,0.4033,0.46106,#a06776,31,1
eggplant,TRUE,LOW,0.49931855,12,75,26.274,-23.657,0.83493,0.66423,0.89597,#d5a9e4,16,0
blizzard,TRUE,LOW,0.498849595,13,88,-24.966,-1.3084,0.63541,0.91934,0.87189,#a2eade,23,1
drought,TRUE,LOW,0.498849595,13,50,-24.966,-1.3084,0.23228,0.51203,0.47224,#3b8378,21,0
glacial ice,TRUE,LOW,0.49894478,14,88,-1.3084,24.966,0.92752,0.86218,0.67984,#eddcad,44,1
ocean water,TRUE,LOW,0.49894478,14,24,0,0,0,0,0,#000000,24,0
sunset,TRUE,LOW,0.499686571,15,50,-1.3084,24.966,0.51566,0.46391,0.29927,#83764c,42,1
sky,TRUE,LOW,0.499686571,15,100,0,0,1,1,1,#ffffff,28,0
sunshine,TRUE,LOW,0.497984717,16,88,-3.9252,74.897,0.98973,0.86065,0.25739,#fcdb42,69,1
shade,TRUE,LOW,0.497984717,16,25,0,0,0.23251,0.23251,0.23251,#3b3b3b,25,0
apple,FALSE,HIGH,0.964641888,1,75,23.657,26.274,0.94491,0.65619,0.53969,#f1a78a,47,1
peach,FALSE,HIGH,0.964641888,1,50,72.28,53.857,0.91683,0.11258,0.11559,#ea1d1d,62,0
field,FALSE,HIGH,0.99540685,2,50,28.891,-73.589,0.18536,0.43139,0.96497,#2f6ef6,0,1
beach,FALSE,HIGH,0.99540685,2,25,-26.274,23.657,0.093053,0.26787,0.081612,#184415,37,0
celery,FALSE,HIGH,0.997355883,3,88,-3.9252,74.897,0.98973,0.86065,0.25739,#fcdb42,69,1
banana,FALSE,HIGH,0.997355883,3,50,-52.548,47.315,0.054615,0.54224,0.099689,#0e8a19,50,0
peace,FALSE,HIGH,0.998317542,4,0,0,0,0,0,0,#000000,24,1
evil,FALSE,HIGH,0.998317542,4,75,24.966,1.3084,0.90215,0.65899,0.71809,#e6a8b7,32,0
love,FALSE,HIGH,0.914328166,5,50,0,0,0.46633,0.46633,0.46633,#777777,26,1
